"Time","CPU"
2025-03-21 14:04:20,33.2%
2025-03-21 20:04:20,24.8%
2025-03-22 02:04:20,15.0%
2025-03-22 08:04:20,24.4%
2025-03-22 14:04:20,31.5%
2025-03-22 20:04:20,21.6%
2025-03-23 02:04:20,15.6%
2025-03-23 08:04:20,26.6%
2025-03-23 14:04:20,29.7%
2025-03-23 20:04:20,24.8%
2025-03-24 02:04:20,18.3%
2025-03-24 08:04:20,35.9%
2025-03-24 14:04:20,39.5%
2025-03-24 20:04:20,30.6%
2025-03-25 02:04:20,18.8%
2025-03-25 08:04:20,33.0%
2025-03-25 14:04:20,37.1%
2025-03-25 20:04:20,29.7%
2025-03-26 02:04:20,18.5%
2025-03-26 08:04:20,35.0%
2025-03-26 14:04:20,30.2%
2025-03-26 20:04:20,26.9%
2025-03-27 02:04:20,15.8%
2025-03-27 08:04:20,28.7%
2025-03-27 14:04:20,31.5%
2025-03-27 20:04:20,22.4%
2025-03-28 02:04:20,15.0%
2025-03-28 08:04:20,27.2%
2025-03-28 14:04:20,30.3%
2025-03-28 20:04:20,29.7%
2025-03-29 02:04:20,17.1%
2025-03-29 08:04:20,25.7%
2025-03-29 14:04:20,27.3%
2025-03-29 20:04:20,23.8%
2025-03-30 03:04:20,19.0%
2025-03-30 09:04:20,25.6%
2025-03-30 15:04:20,26.8%
2025-03-30 21:04:20,24.8%
2025-03-31 03:04:20,17.3%
2025-03-31 09:04:20,28.3%
2025-03-31 15:04:20,35.6%
2025-03-31 21:04:20,27.2%
2025-04-01 03:04:20,15.9%
2025-04-01 09:04:20,29.9%
2025-04-01 15:04:20,30.8%
2025-04-01 21:04:20,25.5%
2025-04-02 03:04:20,17.1%
2025-04-02 09:04:20,25.4%
2025-04-02 15:04:20,30.7%
2025-04-02 21:04:20,25.9%
2025-04-03 03:04:20,15.5%
2025-04-03 09:04:20,28.9%
2025-04-03 15:04:20,32.3%
2025-04-03 21:04:20,35.0%
2025-04-04 03:04:20,20.7%
2025-04-04 09:04:20,31.6%
2025-04-04 15:04:20,32.5%
2025-04-04 21:04:20,24.5%
2025-04-05 03:04:20,21.8%
2025-04-05 09:04:20,25.1%
2025-04-05 15:04:20,27.8%
2025-04-05 21:04:20,23.6%
2025-04-06 03:04:20,15.8%
2025-04-06 09:04:20,23.1%
2025-04-06 15:04:20,27.8%
2025-04-06 21:04:20,28.1%
2025-04-07 03:04:20,16.9%
2025-04-07 09:04:20,30.4%
2025-04-07 15:04:20,68.7%
2025-04-07 21:04:20,25.3%
2025-04-08 03:04:20,16.4%
2025-04-08 09:04:20,34.1%
2025-04-08 15:04:20,34.2%
2025-04-08 21:04:20,29.1%
2025-04-09 03:04:20,19.3%
2025-04-09 09:04:20,30.0%
2025-04-09 15:04:20,38.1%
2025-04-09 21:04:20,26.1%
2025-04-10 03:04:20,18.8%
2025-04-10 09:04:20,31.1%
2025-04-10 15:04:20,30.8%
2025-04-10 21:04:20,27.5%
2025-04-11 03:04:20,19.4%
2025-04-11 09:04:20,37.2%
2025-04-11 15:04:20,30.6%
2025-04-11 21:04:20,26.2%
2025-04-12 03:04:20,18.9%
2025-04-12 09:04:20,24.9%
2025-04-12 15:04:20,24.8%
2025-04-12 21:04:20,23.0%
2025-04-13 03:04:20,16.2%
2025-04-13 09:04:20,27.7%
2025-04-13 15:04:20,27.8%
2025-04-13 21:04:20,29.0%
2025-04-14 03:04:20,17.1%
2025-04-14 09:04:20,22.5%
2025-04-14 15:04:20,31.4%
2025-04-14 21:04:20,25.3%
2025-04-15 03:04:20,17.9%
2025-04-15 09:04:20,31.4%
2025-04-15 15:04:20,32.0%
2025-04-15 21:04:20,26.1%
2025-04-16 03:04:20,20.5%
2025-04-16 09:04:20,29.1%
2025-04-16 15:04:20,28.2%
2025-04-16 21:04:20,24.0%
2025-04-17 03:04:20,16.8%
2025-04-17 09:04:20,30.4%
2025-04-17 15:04:20,33.5%
2025-04-17 21:04:20,23.7%
2025-04-18 03:04:20,17.7%
2025-04-18 09:04:20,27.1%
2025-04-18 15:04:20,24.7%
2025-04-18 21:04:20,22.5%
2025-04-19 03:04:20,18.3%
2025-04-19 09:04:20,26.0%
2025-04-19 15:04:20,26.6%
2025-04-19 21:04:20,23.1%
2025-04-20 03:04:20,16.4%
2025-04-20 09:04:20,27.1%
2025-04-20 15:04:20,28.0%
2025-04-20 21:04:20,24.8%
2025-04-21 03:04:20,16.9%
2025-04-21 09:04:20,27.5%
2025-04-21 15:04:20,27.2%
2025-04-21 21:04:20,25.9%
2025-04-22 03:04:20,17.1%
2025-04-22 09:04:20,34.2%
